isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
411Laciag,Aspicr,1,2819.84,0,0,0,0,0,0.00%,0.00%,,,yes
411Laciag,Aspicr,2,2823.139,26.471,8.684,0,35.155,0,1.25%,1.25%,2 punctures had small black circles surrounding ,,
411 Laciag,Aspicr,3,3044.66,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Aspicr,4,3085.184,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Aspicr,5,2385.502,15.241,11.675,17.896,44.812,0,1.88%,1.88%,3 punctures had small black circles surrounding ,,
411 Laciag,Aspicr,Control 1,3839.529,8.519,7.049,0,15.568,0,0.41%,0.41%,2 punctures had small black circles surrounding ,,
411 Laciag,Aspicr,Control 2,3512.351,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Aspicr,Control 3,2772.367,0,0,0,0,0,0.00%,0.00%,,,yes
411Laciag,Aspicr,Control 4,3565.019,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Aspicr,Control 5,3528.455,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Castel,1,2355.401,25,75.26,0,100.26,2255.141,4.26%,100.00%,,,
411 Laciag,Castel,2,1843.453,N/A,N/A,N/A,0,N/A,0.00%,0.00%,Fully brown dried out leaf,agree. too crunchy to take data on,
411 Laciag,Castel,3,3265.901,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Castel,4,2127.691,0,0,0,0,0,0.00%,0.00%,"One puncture with a little bit of black on it, a little yellow",,yes
411 Laciag,Castel,5,1454.66,0,0,0,0,0,0.00%,0.00%,2 punctures with a little black around,,yes
411Laciag,Castel,Control 1,3187.927,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Castel,Control 2,4222.808,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Castel,Control 3,2550.914,14.884,10.392,0,25.276,228.417,0.99%,9.95%,This leaf seems to have other brown spots not connected to punctures--not lesion? -- update added to unattributed,not lesion! ,
411Laciag,Castel,Control 4,18387.247,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Castel,Control 5,6541.138,457.662,0,0,457.662,0,7.00%,7.00%,Some other browning not along the punctures,,
