"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control"
"1","aspicr","1",2819.84,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"2","aspicr","2",2823.139,26.471,8.684,0,35.155,"0",35.155,0.0124524509774404,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"3","aspicr","3",3044.66,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"4","aspicr","4",3085.184,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"5","aspicr","5",2385.502,15.241,11.675,17.896,44.812,"0",44.812,0.0187851445943034,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"6","aspicr","Control 1",3839.529,8.519,7.049,0,15.568,"0",15.568,0.00405466399654749,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"7","aspicr","Control 2",3512.351,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"8","aspicr","Control 3",2772.367,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"9","aspicr","Control 4",3565.019,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"10","aspicr","Control 5",3528.455,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"11","castel","1",2355.401,25,75.26,0,100.26,"2255.141",100.26,0.0425660004389911,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"13","castel","3",3265.901,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"14","castel","4",2127.691,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"15","castel","5",1454.66,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"16","castel","Control 1",3187.927,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"17","castel","Control 2",4222.808,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"18","castel","Control 3",2550.914,14.884,10.392,0,25.276,"228.417",25.276,0.0099086053077446,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"19","castel","Control 4",18387.247,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"20","castel","Control 5",6541.138,457.662,0,0,457.662,"0",457.662,0.0699667244445844,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"21","dendar","1",3127.319,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"22","dendar","2",6672.806,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"23","dendar","3",3303.918,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"24","dendar","4",4272.425,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"25","dendar","5",3255.963,7.78,0,0,7.78,"0",7.78,0.00238946204241264,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"26","dendar","Control 1",1971.476,13.66,21.974,0,35.634,"0",35.634,0.0180747825487097,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"27","dendar","Control 2",3551.541,17.129,0,0,17.129,"0",17.129,0.00482297684300984,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"28","dendar","Control 3",5241.062,16.835,0,0,16.835,"0",16.835,0.00321213525045115,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"29","dendar","Control 4",2778.421,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"30","dendar","Control 5",2720.265,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"31","mourmy","1",305.861,8.768,4.743,0,13.511,"0",13.511,0.0441736605843831,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"32","mourmy","2",197.479,22.235,15.435,7.19,44.86,"0",44.86,0.227163394588792,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"36","mourmy","Control 1",402.826,7.086,4.421,0,11.507,"0",11.507,0.0285656834464508,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"37","mourmy","Control 2",199.937,7.901,7.915,0,15.816,"0",15.816,0.0791049180491855,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"39","mourmy","Control 4",144.933,11.7,0,0,11.7,"0",11.7,0.0807269565937364,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"40","mourmy","Control 5",159.38,14.176,0,0,14.176,"0",14.176,0.0889446605596687,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"41","ormoma","1",3503.136,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
