"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control","delete","cntrls","difference"
"1","aspicr","1",2819.84,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.00405466399654749,-0.00405466399654749
"2","aspicr","2",2823.139,26.471,8.684,0,35.155,"0",35.155,0.0124524509774404,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0124524509774404
"3","aspicr","3",3044.66,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"4","aspicr","4",3085.184,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"5","aspicr","5",2385.502,15.241,11.675,17.896,44.812,"0",44.812,0.0187851445943034,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0187851445943034
"6","castel","1",2355.401,25,75.26,0,100.26,"2255.141",100.26,0.0425660004389911,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0425660004389911
"7","castel","3",3265.901,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.0099086053077446,-0.0099086053077446
"8","castel","4",2127.691,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"9","castel","5",1454.66,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.0699667244445844,-0.0699667244445844
"10","dendar","1",3127.319,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.0180747825487097,-0.0180747825487097
"11","dendar","2",6672.806,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.00482297684300984,-0.00482297684300984
"12","dendar","3",3303.918,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.00321213525045115,-0.00321213525045115
"13","dendar","4",4272.425,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"14","dendar","5",3255.963,7.78,0,0,7.78,"0",7.78,0.00238946204241264,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.00238946204241264
"15","mourmy","1",305.861,8.768,4.743,0,13.511,"0",13.511,0.0441736605843831,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0285656834464508,0.0156079771379323
"16","mourmy","2",197.479,22.235,15.435,7.19,44.86,"0",44.86,0.227163394588792,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0791049180491855,0.148058476539606
"17","ormoma","1",3503.136,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"18","ormoma","2",2836.894,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"19","ormoma","3",1823.42,24.823,0,0,24.823,"0",24.823,0.0136134297090083,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0136134297090083
"20","ormoma","4",1794.553,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.00732644718792215,-0.00732644718792215
"21","ormoma","5",1917.816,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0,0
"22","randar","1",1025.245,44.593,61.553,46.008,152.154,"0",152.154,0.148407453828109,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.148407453828109
"23","randar","2",1073.488,5.677,0,0,5.677,"0",5.677,0.00528836838418315,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.00528836838418315
"24","randar","3",1114.689,4.43,4.857,0,9.287,"0",9.287,0.00833147182756805,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0531960120391272,-0.0448645402115591
"25","randar","4",664.774,22.203,55.423,20.856,98.482,"0",98.482,0.148143579622548,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0281424847815139,0.120001094841034
"26","randar","5",1089.977,6.766,16.509,9.692,32.967,"0",32.967,0.0302455923381869,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0130490304393235,0.0171965618988634
"27","tri2pa","1",1025.725,13.029,9.182,14.391,36.602,"",36.602,0.0356840283701772,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0356840283701772
"28","tri2pa","2",827.309,9.73,6.551,10.945,27.226,"0",27.226,0.0329091065128023,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0329091065128023
"29","tri2pa","3",882.948,7.232,7.418,6.419,21.069,"0",21.069,0.023862107394773,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0201700356462858,0.00369207174848719
"30","tri2pa","4",1471.448,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.0112864673441457,-0.0112864673441457
